konstelasi,ra1_deg,dec1_deg,ra2_deg,dec2_deg
Sco,240.0834,-22.6217,241.3593,-19.8055
Sco,240.0834,-22.6217,245.2972,-25.5928
Sco,245.2972,-25.5928,247.3519,-26.4320
Sco,247.3519,-26.4320,248.9706,-28.2160
Sco,248.9706,-28.2160,252.5409,-34.2932
Sco,252.5409,-34.2932,252.9676,-38.0474
Sco,252.9676,-38.0474,253.6459,-42.3613
Sco,253.6459,-42.3613,258.0383,-43.2392
Sco,258.0383,-43.2392,264.3297,-42.9978
Sco,264.3297,-42.9978,266.8962,-40.1270
Sco,266.8962,-40.1270,265.6220,-39.0300
Sco,265.6220,-39.0300,263.4022,-37.1038
Scl,14.6515,-29.3574,357.2314,-28.1303
Scl,357.2314,-28.1303,349.7060,-32.5320
Scl,349.7060,-32.5320,353.2427,-37.8183
Sct,278.8018,-8.2441,281.7936,-4.7479
Sct,281.7936,-4.7479,280.5684,-9.0525
Sct,280.5684,-9.0525,277.2994,-14.5658
Sct,277.2994,-14.5658,278.8018,-8.2441
Ser,236.5469,15.4218,235.3877,19.6704
Ser,235.3877,19.6704,237.1849,18.1416
Ser,237.1849,18.1416,239.1133,15.6616
Ser,239.1133,15.6616,236.5469,15.4218
Ser,236.5469,15.4218,233.7006,10.5389
Ser,233.7006,10.5389,236.0670,6.4256
Ser,236.0670,6.4256,237.7040,4.4777
Ser,237.7040,4.4777,243.5864,-3.6943
Ser,257.5945,-15.7249,264.3967,-15.3986
Ser,264.3967,-15.3986,269.7566,-9.7736
Ser,269.7566,-9.7736,270.7705,-8.1803
Ser,270.7705,-8.1803,275.3275,-2.8988
Ser,275.3275,-2.8988,284.0549,4.2036
Sex,151.9845,-0.3716,148.1268,-8.1050
Sex,148.1268,-8.1050,157.3696,-2.7391
Sex,157.3696,-2.7391,157.5728,-0.6370
Tau,84.4112,21.1425,68.9802,16.5093
Tau,68.9802,16.5093,67.1656,15.8709
Tau,67.1656,15.8709,64.9483,15.6276
Tau,64.9483,15.6276,65.7337,17.5425
Tau,65.7337,17.5425,67.1542,19.1804
Tau,67.1542,19.1804,81.5730,28.6075
Tau,64.9483,15.6276,60.1701,12.4903
Tau,60.1701,12.4903,51.7923,9.7327
Tau,51.7923,9.7327,60.7891,5.9893
Tau,51.7923,9.7327,51.2033,9.0289
Tau,51.2033,9.0289,54.2183,0.4017
Tel,272.8073,-45.9544,276.7434,-45.9685
Tel,276.7434,-45.9685,277.2077,-49.0706
Tri,28.2704,29.5788,32.3859,34.9873
Tri,32.3859,34.9873,34.3286,33.8472
Tri,34.3286,33.8472,28.2704,29.5788
TrA,252.1662,-69.0277,238.7857,-63.4307
TrA,238.7857,-63.4307,229.7274,-68.6795
TrA,229.7274,-68.6795,252.1662,-69.0277
Tuc,334.6254,-60.2596,349.3574,-58.2357
Tuc,349.3574,-58.2357,7.8861,-62.9582
Tuc,7.8861,-62.9582,5.0178,-64.8748
Tuc,5.0178,-64.8748,359.9791,-65.5771
Tuc,359.9791,-65.5771,336.8332,-64.9664
Tuc,336.8332,-64.9664,334.6254,-60.2596
UMa,183.8565,57.0326,165.9320,61.7510
UMa,165.9320,61.7510,165.4603,56.3824
UMa,165.4603,56.3824,178.4577,53.6948
UMa,178.4577,53.6948,183.8565,57.0326
UMa,183.8565,57.0326,193.5073,55.9598
UMa,193.5073,55.9598,200.9814,54.9254
UMa,200.9814,54.9254,206.8852,49.3133
UMa,178.4577,53.6948,176.5126,47.7794
UMa,176.5126,47.7794,169.6197,33.0943
UMa,169.6197,33.0943,169.5468,31.5308
UMa,176.5126,47.7794,167.4159,44.4985
UMa,167.4159,44.4985,155.5823,41.4995
UMa,167.4159,44.4985,154.2741,42.9144
UMa,165.9320,61.7510,142.8821,63.0619
UMa,142.8821,63.0619,127.5661,60.7182
UMa,127.5661,60.7182,147.7473,59.0387
UMa,147.7473,59.0387,165.4603,56.3824
UMa,165.4603,56.3824,148.0265,54.0643
UMa,148.0265,54.0643,143.2143,51.6773
UMa,143.2143,51.6773,134.8019,48.0418
UMa,135.9064,47.1565,143.2143,51.6773
UMi,236.0147,77.7945,244.3762,75.7553
UMi,244.3762,75.7553,230.1821,71.8340
UMi,230.1821,71.8340,222.6764,74.1555
UMi,222.6764,74.1555,236.0147,77.7945
UMi,236.0147,77.7945,251.4927,82.0373
UMi,251.4927,82.0373,263.0542,86.5865
UMi,263.0542,86.5865,37.9545,89.2641
Vel,131.1759,-54.7088,140.5284,-55.0107
Vel,140.5284,-55.0107,149.2156,-54.5678
Vel,149.2156,-54.5678,161.6924,-49.4203
Vel,161.6924,-49.4203,153.6840,-42.1219
Vel,153.6840,-42.1219,142.6750,-40.4668
Vel,142.6750,-40.4668,136.9990,-43.4326
Vel,136.9990,-43.4326,122.3831,-47.3366
Vir,176.4648,6.5294,177.6738,1.7647
Vir,177.6738,1.7647,184.9765,-0.6668
Vir,184.9765,-0.6668,190.4152,-1.4494
Vir,190.4152,-1.4494,197.4875,-5.5390
Vir,197.4875,-5.5390,201.2982,-11.1613
Vir,201.2982,-11.1613,214.0036,-6.0005
Vir,214.0036,-6.0005,220.7651,-5.6582
Vir,195.5442,10.9592,193.9009,3.3975
Vir,193.9009,3.3975,190.4152,-1.4494
Vir,197.4875,-5.5390,203.6733,-0.5958
Vir,203.6733,-0.5958,210.4116,1.5445
Vir,210.4116,1.5445,221.5622,1.8929
Vol,135.6116,-66.3961,126.4341,-66.1369
Vol,126.4341,-66.1369,121.9825,-68.6171
Vol,121.9825,-68.6171,109.2076,-67.9572
Vol,109.2076,-67.9572,107.1869,-70.4989
Vol,107.1869,-70.4989,121.9825,-68.6171
Vol,121.9825,-68.6171,135.6116,-66.3961
Vul,289.0543,21.3904,292.1764,24.6649
Vul,292.1764,24.6649,298.3654,24.0796
Vul,298.3654,24.0796,300.2752,27.7536
Vul,300.2752,27.7536,303.9422,27.8142
